Audio_File,Amplitudes,Pitches,Loudness,Zero_Crossing_Rate,Silent_Ratios
data/train\Saxophone6.mp3,"0.09018085,0.09491749,0.050674237,0.07237873,0.123581745,0.13240048,0.21218622,0.17189533,0.081398845,0.086586125,0.11435651,0.20939192,0.27315113,0.26243985,0.23447919,0.22667971,0.24829702,0.1386242,0.02344439,0.078586265,0.1463128","10.251323,7.431573,17.721582,20.183125,16.512957,13.644867,5.3479204,4.9611435,12.427708,14.450086,7.409056,1.9857657,1.1685337,1.2481581,1.6641124,1.7763866,0.9861324,18.24976,40.787548,29.557022,7.4869685","-18.802955150604248,-18.577792644500732,-21.728711128234863,-17.375224828720093,-15.486515760421753,-15.70271611213684,-11.697026491165161,-12.588685750961304,-19.852253198623657,-19.43791389465332,-16.159900426864624,-11.567121744155884,-10.037170648574829,-10.427788496017456,-11.255728006362915,-11.3871431350708,-10.508819818496704,-12.93296217918396,-23.33181619644165,-17.644143104553223,-14.762123823165894","0.11619047619047619,0.10884353741496598,0.1035827664399093,0.12507936507936507,0.15514739229024943,0.13773242630385488,0.07750566893424037,0.05986394557823129,0.10811791383219954,0.11682539682539683,0.07578231292517007,0.0454875283446712,0.0364625850340136,0.036281179138321996,0.038321995464852605,0.039501133786848074,0.03768707482993197,0.07941043083900227,0.11464852607709751,0.10914315569487983,0.11189155884165126","0.10961451247165532,0.06353741496598639,0.4199546485260771,0.4606349206349206,0.10643990929705216,0.05174603174603175,0.02802721088435374,0.054693877551020405,0.0745124716553288,0.06272108843537415,0.05310657596371882,0.028798185941043084,0.015192743764172336,0.015691609977324262,0.020090702947845804,0.02331065759637188,0.021496598639455782,0.41854875283446713,0.7944671201814059,0.4831243469174504,0.09155884165126309"
data/train\Saxophone7.mp3,"0.057390552,0.056330007,0.11027828,0.16710044,0.26378876,0.28960678,0.30882838,0.22748516,0.08169808,0.06270386,0.11711859,0.13842615,0.12282634,0.11779106,0.0987502,0.08722514,0.110592514,0.115283735,0.07827941,0.03829073,0.0045270934","34.28404,37.535526,16.272795,6.836555,1.5885123,1.177724,0.8231115,1.7057792,2.8609638,3.2587163,4.056119,5.500806,6.5404463,8.800011,10.182233,10.665883,10.314901,8.567579,10.048488,41.703075,89.593704","-16.624059677124023,-19.2442524433136,-16.55650496482849,-13.592935800552368,-10.41469693183899,-9.720050692558289,-9.125369787216187,-10.764540433883667,-19.024406671524048,-20.850539207458496,-15.97597599029541,-15.324475765228271,-16.33295774459839,-16.619961261749268,-18.120312690734863,-19.148499965667725,-17.137144804000854,-17.00299620628357,-20.192770957946777,-24.356470108032227,-41.030120849609375","0.10131519274376417,0.10471655328798186,0.1054875283446712,0.07183673469387755,0.03768707482993197,0.03650793650793651,0.03659863945578231,0.05682539682539683,0.0872562358276644,0.09746031746031746,0.10131519274376417,0.10662131519274376,0.12317460317460317,0.13569160997732427,0.13247165532879818,0.13868480725623583,0.13963718820861679,0.1252607709750567,0.11260770975056689,0.199559400354629,0.3317954126021619","0.7356462585034014,0.6197278911564625,0.15501133786848073,0.04521541950113379,0.01650793650793651,0.015192743764172336,0.014603174603174604,0.03260770975056689,0.07696145124716554,0.10934240362811791,0.07963718820861677,0.047165532879818596,0.05138321995464853,0.05623582766439909,0.07215419501133787,0.07746031746031747,0.06027210884353742,0.05002267573696145,0.08526077097505669,0.420235344688625,0.8600052728710783"
data/train\Saxophone8.mp3,"0.00019008367,0.0052873883,0.014908235,0.016486045,0.011835462,0.022219568,0.023545982,0.015026023,0.0240909,0.027977193,0.022875298,0.022939717,0.025487723,0.021566035,0.014117689,0.010023314,0.010155445,0.01145343,0.015125594,0.014638901,0.009823949","24.953968,13.497578,14.424521,14.084242,13.771591,11.2538805,12.443694,12.3727665,9.99477,8.896058,5.3685975,3.3784351,3.501056,3.5901792,4.350642,2.993076,3.0607643,3.8191352,4.0478816,4.493276,3.2899277","-64.79962348937988,-36.72411918640137,-31.953418254852295,-31.679208278656006,-34.31541681289673,-29.473342895507812,-28.739051818847656,-32.081425189971924,-29.49967861175537,-28.837056159973145,-30.33241033554077,-29.77715492248535,-29.144017696380615,-30.612850189208984,-34.36558961868286,-37.343103885650635,-37.02181816101074,-35.868542194366455,-33.998351097106934,-34.32159185409546,-37.388880252838135","0.14426303854875283,0.06897959183673469,0.07414965986394557,0.09560090702947846,0.09061224489795919,0.07514739229024943,0.08417233560090703,0.07482993197278912,0.09061224489795919,0.11233560090702947,0.08530612244897959,0.0581859410430839,0.04834467120181406,0.041360544217687076,0.03668934240362812,0.034104308390022674,0.03741496598639456,0.04036281179138322,0.04077097505668934,0.04005347064065749,0.036738253570260546","1.0,0.8560090702947846,0.57578231292517,0.5269387755102041,0.6234013605442177,0.4252607709750567,0.4473469387755102,0.5625396825396826,0.34122448979591835,0.22707482993197278,0.34947845804988664,0.39791383219954646,0.3071201814058957,0.3310657596371882,0.4717913832199547,0.623718820861678,0.6425850340136054,0.612108843537415,0.471609977324263,0.4745024259827706,0.6416657582034231"
data/train\Saxophone9.mp3,"0.00748699,0.010083883,0.022536723,0.02344275,0.011504918,0.0167282,0.017631274,0.0058633415,0.00838899,0.028154707,0.040622354,0.042004656,0.03674541,0.025865968,0.016806055,0.013425126,0.013969841,0.019920785,0.022000108,0.018297296,0.01899501","5.7486596,5.17145,5.365753,5.051655,8.796828,8.049479,1.9344329,50.50909,66.796684,25.52711,7.8566628,7.8665013,5.434797,2.9287868,3.221895,3.279321,3.874017,6.4719615,5.8156962,2.8716133,2.8012416","-38.643929958343506,-36.59571409225464,-30.078210830688477,-29.5770263671875,-34.1076922416687,-31.968653202056885,-31.744542121887207,-37.66855716705322,-33.6718487739563,-27.35405921936035,-25.520200729370117,-25.2522873878479,-26.30852699279785,-29.53836679458618,-33.19984674453735,-35.57915210723877,-35.035176277160645,-31.20375633239746,-30.584003925323486,-31.751716136932373,-30.854816436767578","0.04984126984126984,0.05256235827664399,0.060408163265306125,0.06149659863945578,0.05795918367346939,0.06190476190476191,0.040997732426303855,0.10675736961451247,0.1710204081632653,0.12167800453514739,0.08140589569160998,0.07591836734693877,0.06285714285714286,0.05179138321995465,0.04163265306122449,0.03229024943310658,0.032517006802721085,0.059727891156462584,0.0891609977324263,0.0742647786909595,0.052545514008503214","0.7390476190476191,0.6258049886621315,0.37192743764172337,0.3892063492063492,0.6610430839002267,0.5192290249433107,0.4764625850340136,0.8234013605442176,0.7918367346938775,0.3905215419501134,0.18,0.17210884353741496,0.20952380952380953,0.26616780045351474,0.3815873015873016,0.43315192743764175,0.4475736961451247,0.38780045351473924,0.33850340136054424,0.4391028814734132,0.48784476180093755"
data/train\Tenor recorder 1.mp3,"0.0003183799,0.00035123187,0.00035030325,0.01063466,0.027424859,0.03502038,0.048095137,0.043724086,0.03213576,0.04180323,0.04153753,0.035871495,0.034845166,0.04033137,0.037950497,0.0270533,0.02406039,0.021977874,0.022822354,0.027370542,0.03104161,0.03835325","6.380292,1.5975741,1.7272811,1.7355103,2.6097736,4.188366,3.945652,4.9365835,5.9838476,3.7695544,4.1252775,4.3645067,3.8076196,3.0234537,4.861252,8.647349,7.6440988,7.213334,8.001339,6.4111233,4.8117666,5.3860726","-67.3478364944458,-66.90103530883789,-66.8412446975708,-34.40926790237427,-29.423682689666748,-27.699782848358154,-24.542789459228516,-24.95476484298706,-27.943718433380127,-25.998926162719727,-25.80199956893921,-26.831328868865967,-27.259340286254883,-26.04841709136963,-26.5602970123291,-29.20875072479248,-30.124573707580566,-31.063754558563232,-30.525634288787842,-29.182446002960205,-28.326849937438965,-27.051451206207275","0.10598639455782313,0.09850340136054422,0.10766439909297053,0.07356009070294785,0.03650793650793651,0.044126984126984126,0.04888888888888889,0.06585034013605442,0.07052154195011338,0.052607709750566896,0.0527437641723356,0.05714285714285714,0.05401360544217687,0.046848072562358276,0.04435374149659864,0.05723356009070295,0.06099773242630385,0.0653968253968254,0.07192743764172335,0.06222222222222222,0.05291479820627803,0.03694267515923567","1.0,1.0,1.0,0.6730612244897959,0.24294784580498865,0.14530612244897959,0.12172335600907029,0.1687981859410431,0.20476190476190476,0.12961451247165534,0.1510204081632653,0.1946938775510204,0.1892063492063492,0.15378684807256235,0.15387755102040818,0.2418140589569161,0.26893424036281177,0.2855328798185941,0.2878004535147392,0.22712018140589568,0.17944693572496262,0.08832271762208067"
data/train\Tenor recorder 2.mp3,"0.030782117,0.031975556,0.018357256,0.0212266,0.034311637,0.06601366,0.10191614,0.14706472,0.17750503,0.165633,0.15876386,0.15122518,0.10808936,0.04816919,0.05135214,0.08544062,0.13489923,0.14261751,0.10538375,0.118634,0.14271396,0.14880942","4.336494,3.9232798,3.3700147,2.7186863,4.012725,3.8271883,2.1507163,1.8027225,1.018391,1.0015332,0.72844493,0.6114638,1.8075764,4.655974,5.058289,3.0408583,1.5823985,1.3266071,1.7362268,1.0725557,0.69486606,0.6861619","-28.356029987335205,-28.020753860473633,-30.97764492034912,-30.060229301452637,-27.650153636932373,-20.81024408340454,-18.146650791168213,-15.100685358047485,-13.862758874893188,-14.356284141540527,-14.718713760375977,-15.2849280834198,-17.31301188468933,-23.247840404510498,-22.97861099243164,-19.352442026138306,-15.789204835891724,-15.363268852233887,-17.918827533721924,-17.249919176101685,-15.811911821365356,-15.294156074523926","0.05147392290249433,0.04430839002267574,0.052335600907029475,0.050294784580498866,0.05197278911564626,0.060408163265306125,0.06099773242630385,0.060816326530612246,0.058503401360544216,0.055419501133786846,0.05410430839002268,0.05410430839002268,0.05478458049886621,0.05714285714285714,0.058458049886621316,0.05832199546485261,0.05927437641723356,0.058095238095238096,0.055374149659863946,0.05433106575963719,0.054067895815042434,0.0541051835035944","0.19405895691609978,0.19052154195011337,0.5175510204081633,0.49918367346938775,0.1895238095238095,0.1293424036281179,0.06716553287981859,0.04036281179138322,0.024580498866213153,0.028253968253968254,0.030022675736961452,0.029841269841269842,0.08394557823129252,0.16507936507936508,0.15079365079365079,0.08390022675736962,0.041405895691609976,0.03383219954648526,0.04666666666666667,0.04049886621315193,0.029558091893473807,0.026106696935300794"
data/train\Tenor recorder 3.mp3,"0.11922908,0.06334156,0.032509577,0.062010918,0.11685505,0.16825326,0.16901617,0.14256418,0.14938891,0.19982684,0.17509253,0.10023909,0.08378507,0.08848501,0.1245571,0.12971057,0.11148054,0.09662138,0.063158415,0.050267514,0.049244244,0.050776504","0.6058308,0.6456539,1.9394933,2.9925873,1.7928071,0.8017802,0.76679707,1.0474159,1.6477122,1.9568172,2.8676133,3.6270041,3.0084095,2.5505328,1.3145751,0.61840343,1.3367116,1.9127169,2.3619535,2.4331892,1.8314493,1.7181582","-16.774646043777466,-20.3952693939209,-27.915780544281006,-21.99763059616089,-16.96101665496826,-14.112529754638672,-14.03447151184082,-15.358142852783203,-14.861385822296143,-12.233023643493652,-12.697985172271729,-17.40283727645874,-19.42129611968994,-19.085378646850586,-16.67744517326355,-16.30010962486267,-17.571489810943604,-18.429492712020874,-21.718895435333252,-24.385817050933838,-24.55860137939453,-24.25731658935547","0.05759637188208617,0.05414965986394558,0.04625850340136054,0.04739229024943311,0.05836734693877551,0.060770975056689346,0.060770975056689346,0.06235827664399093,0.06761904761904762,0.07129251700680272,0.07328798185941043,0.06956916099773243,0.06276643990929705,0.05764172335600907,0.05405895691609977,0.05405895691609977,0.05582766439909297,0.055056689342403625,0.04947845804988662,0.04621315192743764,0.046605209247878254,0.04880817253121453","0.06471655328798186,0.1583219954648526,0.18766439909297053,0.09328798185941044,0.04893424036281179,0.031655328798185944,0.03197278911564626,0.03732426303854875,0.03736961451247166,0.026984126984126985,0.04861678004535147,0.0690249433106576,0.08054421768707483,0.07433106575963719,0.03931972789115646,0.04,0.0436281179138322,0.06453514739229024,0.09945578231292516,0.10784580498866213,0.1192566578870354,0.1524782444192206"
data/train\Tenor recorder 4.mp3,"0.036405664,0.019731045,0.027000094,0.065842554,0.11198884,0.12513347,0.11807479,0.11883809,0.076631136,0.03241598,0.030742133,0.033558656,0.030590044,0.026060436,0.021148808,0.014374995,0.007401736,0.0029523955,0.010160937,0.024562282,0.029696831,0.026251864","1.9014733,1.5465758,1.6836694,1.6623566,0.95954233,0.60783225,0.60777724,0.68553394,2.0118053,4.1700993,4.2989807,2.9630923,2.8165534,2.7805104,3.1028738,2.6762338,2.0138166,1.8712065,2.1845982,3.208412,4.035563,5.4592886","-26.541481018066406,-30.474250316619873,-28.510987758636475,-21.949408054351807,-17.53511905670166,-16.62134289741516,-17.137484550476074,-16.951907873153687,-19.512394666671753,-27.580695152282715,-28.58856439590454,-28.250081539154053,-28.799734115600586,-30.080714225769043,-31.939761638641357,-34.70638036727905,-39.394381046295166,-47.65186309814453,-35.576443672180176,-30.461137294769287,-29.20567512512207,-30.01486301422119","0.050839002267573694,0.04630385487528345,0.040589569160997735,0.04426303854875283,0.05310657596371882,0.05410430839002268,0.05410430839002268,0.05401360544217687,0.052970521541950116,0.05487528344671202,0.045759637188208614,0.03487528344671202,0.038231292517006805,0.03746031746031746,0.03882086167800453,0.03895691609977324,0.04326530612244898,0.048480725623582764,0.04439909297052154,0.04167800453514739,0.041117939713198715,0.046538024971623154","0.1999546485260771,0.44666666666666666,0.3816780045351474,0.08072562358276644,0.04272108843537415,0.04049886621315193,0.04240362811791383,0.0473469387755102,0.11514739229024944,0.20884353741496597,0.1854875283446712,0.12666666666666668,0.16267573696145124,0.2034920634920635,0.26031746031746034,0.4530612244897959,0.7547845804988662,0.9587301587301588,0.6824036281179139,0.2583219954648526,0.15956979806848112,0.19182746878547105"
data/train\Tenor recorder 5.mp3,"0.03423767,0.03539571,0.027725484,0.023202462,0.0356895,0.053862162,0.05625045,0.045045663,0.040320806,0.0417412,0.03518602,0.026515156,0.020615041,0.024822142,0.025028616,0.02202318,0.026875637,0.029149827,0.025357043,0.013590556,0.011471586,0.038728468","4.6189203,7.827073,9.366991,7.0524416,3.887326,2.48513,2.3285537,2.0911922,2.0686455,1.985021,3.5294755,5.37815,6.438569,5.7048693,6.914333,8.301192,6.781203,6.300415,5.5862513,4.145386,3.5403612,0.7616913","-27.422306537628174,-26.972031593322754,-29.087233543395996,-30.876524448394775,-27.205688953399658,-24.259276390075684,-23.827180862426758,-25.461931228637695,-26.329572200775146,-26.027815341949463,-27.35585927963257,-29.403584003448486,-31.571738719940186,-30.304572582244873,-30.39097785949707,-31.053030490875244,-29.175570011138916,-28.664875030517578,-29.519100189208984,-32.96738624572754,-33.71812343597412,-27.154111862182617","0.04970521541950113,0.05687074829931973,0.0673922902494331,0.06326530612244897,0.04938775510204082,0.04253968253968254,0.04226757369614512,0.044489795918367346,0.0419047619047619,0.03496598639455782,0.040952380952380955,0.05179138321995465,0.05986394557823129,0.057687074829931975,0.06299319727891156,0.07378684807256236,0.06340136054421769,0.05519274376417234,0.05419501133786848,0.058503401360544216,0.058823529411764705,0.03518728717366629","0.17183673469387756,0.1798639455782313,0.23011337868480725,0.25927437641723355,0.17387755102040817,0.07714285714285714,0.07519274376417233,0.11011337868480725,0.12993197278911564,0.12653061224489795,0.16113378684807256,0.24634920634920635,0.3056235827664399,0.23600907029478457,0.22036281179138323,0.2836281179138322,0.25578231292517006,0.21931972789115647,0.29913832199546486,0.6417687074829932,0.7518290898448932,0.1142640938327658"
data/train\Tenor recorder 6.mp3,"0.022913532,0.039659318,0.08884355,0.13442054,0.1466603,0.1401975,0.11783677,0.1390017,0.1269949,0.069111325,0.03910916,0.05597951,0.08996538,0.12668608,0.12881763,0.09257046,0.07394196,0.0784264,0.05507977,0.024763826,0.040485185,0.062484477","3.1774921,4.115898,3.764254,1.4263548,1.4876207,1.614432,1.7828897,1.0874109,1.0282567,2.4182255,4.2985787,3.9334166,2.1233783,1.2444953,1.6112015,1.9579532,2.0161817,1.9004446,1.438619,1.1296743,1.6207511,3.078033","-29.422049522399902,-26.59175395965576,-18.458046913146973,-16.03235125541687,-15.392204523086548,-15.820122957229614,-17.308523654937744,-15.90477705001831,-16.55861496925354,-21.22310161590576,-26.000328063964844,-22.667441368103027,-19.31070566177368,-16.434626579284668,-16.238564252853394,-19.015127420425415,-21.24760150909424,-20.49804449081421,-22.122435569763184,-29.910762310028076,-25.69852590560913,-22.96747922897339","0.04893424036281179,0.04562358276643991,0.054240362811791384,0.05687074829931973,0.059727891156462584,0.057732426303854875,0.0544671201814059,0.05405895691609977,0.05396825396825397,0.05587301587301587,0.05551020408163265,0.0528344671201814,0.05473922902494331,0.05877551020408163,0.05891156462585034,0.05836734693877551,0.05709750566893424,0.05437641723356009,0.05546485260770975,0.050748299319727894,0.042733639746115125,0.03985657150737829","0.508344671201814,0.1253061224489796,0.09328798185941044,0.03968253968253968,0.03074829931972789,0.031292517006802724,0.036326530612244896,0.030430839002267573,0.03918367346938775,0.11129251700680272,0.17374149659863947,0.12480725623582767,0.060090702947845805,0.04113378684807256,0.04013605442176871,0.059727891156462584,0.06594104308390022,0.06380952380952382,0.16607709750566893,0.27179138321995466,0.19375136791420441,0.05971590125499931"
data/train\Tenor recorder 7.mp3,"0.042608958,0.099504896,0.16620353,0.16865735,0.17730066,0.14442314,0.12327698,0.14381896,0.09906595,0.11618747,0.11457047,0.096702605,0.12119942,0.11416253,0.10042344,0.07475601,0.045345325,0.039235312,0.029183786,0.012294224,0.018999554,0.039524194","2.1311576,2.074682,0.6883713,0.6918887,0.8078002,2.2933235,2.520867,1.5075295,3.1910844,2.7922068,1.7618911,1.6885717,0.7511794,0.94941413,1.8359149,2.3921387,2.9487088,2.4517772,1.9582782,1.9277064,2.090226,1.3838735","-25.1153302192688,-18.21892261505127,-14.258354902267456,-14.13464069366455,-13.64225149154663,-14.67705249786377,-16.245505809783936,-15.26119589805603,-18.073750734329224,-16.912758350372314,-17.074352502822876,-18.70098114013672,-16.744468212127686,-17.009170055389404,-18.146342039108276,-20.325636863708496,-25.27667760848999,-26.478431224822998,-28.30869436264038,-34.433836936950684,-30.489232540130615,-26.642634868621826","0.04458049886621315,0.05342403628117914,0.06018140589569161,0.06022675736961451,0.06072562358276644,0.06630385487528345,0.07133786848072562,0.07124716553287982,0.07043083900226757,0.06503401360544217,0.0582312925170068,0.054965986394557825,0.05369614512471655,0.05419501133786848,0.055374149659863946,0.05183673469387755,0.049206349206349205,0.048798185941043085,0.04675736961451247,0.05047619047619047,0.04722039833661633,0.03640877120397187","0.2178231292517007,0.054285714285714284,0.027210884353741496,0.026303854875283448,0.026349206349206348,0.049206349206349205,0.05328798185941043,0.03850340136054422,0.06494331065759637,0.05401360544217687,0.048798185941043085,0.05482993197278912,0.04018140589569161,0.046122448979591835,0.0564172335600907,0.08312925170068028,0.12489795918367347,0.15043083900226759,0.2624489795918367,0.6183673469387755,0.5750711315386299,0.13156805957798925"
data/train\Tenor recorder 8.mp3,"0.020750253,0.046200804,0.08888538,0.12437225,0.13361359,0.12191719,0.113141544,0.082428835,0.031027999,0.027831107,0.035065725,0.03617314,0.033015426,0.029064937,0.033937197,0.034176514,0.03133526,0.035882812,0.029846938,0.017178373,0.01099702,0.0059979036","2.6459339,2.40496,1.8900665,0.66490585,0.6838895,1.1375089,1.1389854,1.617844,4.357888,4.5918617,2.6046937,2.0050035,2.2415721,2.2938998,2.0097387,2.1528056,2.1238503,1.9552919,2.445156,1.9554181,1.1218524,1.0851405","-30.244121551513672,-25.13772487640381,-18.980014324188232,-16.661128997802734,-16.09123706817627,-16.63149356842041,-17.427135705947876,-19.452186822891235,-27.542638778686523,-29.42931890487671,-27.871100902557373,-27.63962984085083,-28.40331792831421,-29.456307888031006,-28.183560371398926,-28.164632320404053,-28.967297077178955,-27.86526918411255,-28.87763738632202,-33.24927568435669,-36.59657001495361,-43.110971450805664","0.04467120181405896,0.04353741496598639,0.05210884353741497,0.05369614512471655,0.053877551020408164,0.05378684807256236,0.05360544217687075,0.05709750566893424,0.05927437641723356,0.04712018140589569,0.03709750566893424,0.03473922902494331,0.032517006802721085,0.03501133786848073,0.03396825396825397,0.034104308390022674,0.03668934240362812,0.03428571428571429,0.0400453514739229,0.04317460317460318,0.03501860363318013,0.030064818645704042","0.508390022675737,0.11224489795918367,0.06390022675736962,0.034784580498866215,0.04,0.04625850340136054,0.043310657596371885,0.10308390022675737,0.23691609977324263,0.20657596371882087,0.12471655328798185,0.12444444444444444,0.13351473922902493,0.16131519274376419,0.13337868480725623,0.12643990929705215,0.13002267573696144,0.09741496598639456,0.18058956916099772,0.3518820861678005,0.5963011599912453,0.8522962350020686"
data/train\Trumpet1.mp3,"0.07826326,0.11196134,0.120792665,0.12296071,0.120174296,0.10175878,0.09480216,0.10809381,0.117401555,0.10892432,0.09916385,0.11283088,0.12167002,0.1090877,0.09209398,0.07504106,0.100135215,0.10462608,0.040581588,0.0027249174,0.00011282334","7.428611,7.050862,7.5884404,6.282713,6.636788,8.411378,8.231666,6.0652666,5.5641727,6.030934,8.31093,8.255317,7.3671937,7.7904744,8.701945,9.792671,7.2937336,3.4512196,34.726215,63.462452,54.557743","-18.30439567565918,-16.893529891967773,-16.28968834877014,-16.202564239501953,-16.353225708007812,-17.652018070220947,-18.3820903301239,-16.912529468536377,-16.24086022377014,-16.956040859222412,-17.860342264175415,-17.269277572631836,-16.619350910186768,-16.912366151809692,-18.18940758705139,-19.907190799713135,-17.870694398880005,-18.00140380859375,-23.67438554763794,-44.082350730895996,-77.10559844970703","0.06993197278911564,0.06893424036281179,0.0763265306122449,0.07886621315192743,0.07950113378684807,0.09414965986394558,0.11287981859410431,0.1236734693877551,0.12789115646258503,0.12312925170068027,0.10993197278911565,0.08086167800453514,0.06666666666666667,0.07814058956916099,0.07673469387755102,0.06752834467120182,0.05210884353741497,0.03623582766439909,0.06675736961451247,0.10595042614747048,0.13435374149659865","0.37333333333333335,0.07102040816326531,0.05510204081632653,0.05650793650793651,0.05927437641723356,0.06444444444444444,0.06662131519274377,0.06693877551020408,0.06285714285714286,0.06498866213151927,0.07111111111111111,0.05378684807256236,0.04598639455782313,0.06321995464852607,0.08943310657596372,0.14068027210884354,0.10154195011337869,0.05147392290249433,0.49863945578231295,0.9360387833294237,1.0"
data/train\Trumpet2.mp3,"0.07267361,0.107303225,0.118392944,0.123185545,0.116967365,0.11913789,0.14119896,0.11864382,0.04395255,0.029963756,0.095153496,0.13138244,0.12389296,0.10974196,0.094208166,0.11625576,0.113162644,0.047746312,0.03270065,0.060467944,0.096536405","17.211716,8.812711,6.2108994,5.9746094,6.4592857,7.1751018,6.470148,4.656022,3.5402951,6.6491075,7.134117,6.040826,5.9761715,6.5737495,8.198968,7.7134023,5.593121,4.9296427,4.822118,5.0886726,5.9632807","-18.634498119354248,-17.063318490982056,-16.565134525299072,-16.29241943359375,-16.699905395507812,-16.460598707199097,-15.43885350227356,-16.686795949935913,-22.183516025543213,-24.517219066619873,-17.697834968566895,-15.815004110336304,-16.266554594039917,-17.13098406791687,-17.94593572616577,-16.36676788330078,-16.72458291053772,-22.082805633544922,-23.44942808151245,-20.19228219985962,-18.23105812072754","0.10104308390022676,0.11138321995464853,0.11560090702947846,0.11519274376417234,0.10852607709750567,0.09519274376417233,0.07950113378684807,0.07065759637188208,0.07106575963718821,0.08825396825396825,0.10126984126984127,0.1000907029478458,0.101859410430839,0.09931972789115646,0.08408163265306122,0.07337868480725623,0.06834467120181406,0.0674829931972789,0.07736961451247165,0.0919266320046216,0.11831385051363798","0.35827664399092973,0.07691609977324262,0.05510204081632653,0.04702947845804989,0.050839002267573694,0.05791383219954648,0.04204081632653061,0.06172335600907029,0.5084807256235828,0.5515646258503402,0.11356009070294784,0.04657596371882086,0.049523809523809526,0.05582766439909297,0.09659863945578231,0.08485260770975056,0.06666666666666667,0.40766439909297053,0.6300226757369615,0.4597053726169844,0.1434643995749203"
data/train\Trumpet3.mp3,"0.1183316,0.11769769,0.109285936,0.10504721,0.09261422,0.09518829,0.10946168,0.116786845,0.11769705,0.10835596,0.114202775,0.11831285,0.09927537,0.09950685,0.097841434,0.04634749,0.005709735,0.044359427,0.11483317,0.13741443,0.121952526","9.257203,5.691497,5.667827,5.935799,6.258854,6.586099,6.5521502,6.499427,7.694896,8.364703,8.433875,7.5362077,7.1742024,7.7296762,6.840289,5.624193,29.493708,32.233765,10.600589,8.487666,3.6734056","-16.689300537109375,-17.38978385925293,-17.76008129119873,-17.90848970413208,-18.97701382637024,-18.689063787460327,-17.5911283493042,-16.7839252948761,-16.563868522644043,-17.195051908493042,-16.568878889083862,-16.16032123565674,-17.180991172790527,-17.10564613342285,-17.633347511291504,-22.37009048461914,-36.035306453704834,-21.257059574127197,-16.72883629798889,-15.852067470550537,-16.97304368019104","0.08154195011337868,0.0670748299319728,0.08086167800453514,0.08530612244897959,0.09006802721088436,0.10866213151927438,0.11514739229024944,0.1143764172335601,0.10117913832199546,0.08526077097505669,0.08027210884353742,0.08072562358276644,0.0818140589569161,0.08476190476190476,0.08113378684807256,0.06412698412698413,0.08861678004535148,0.11337868480725624,0.08993197278911565,0.0792894280762565,0.08537017357421182","0.08489795918367347,0.031292517006802724,0.04204081632653061,0.049160997732426305,0.06222222222222222,0.06621315192743764,0.05564625850340136,0.054285714285714284,0.05528344671201814,0.06380952380952382,0.07065759637188208,0.06897959183673469,0.10485260770975056,0.10249433106575964,0.07070294784580498,0.41909297052154193,0.879501133786848,0.5946485260770975,0.11043083900226758,0.048960138648180246,0.11689691817215728"
data/train\Trumpet4.mp3,"0.11811224,0.1218813,0.110692285,0.09920547,0.11486883,0.11142246,0.10839192,0.11831075,0.11145068,0.10367883,0.102449544,0.06645868,0.04308757,0.1029435,0.13375695,0.10465964,0.09878884,0.11156407,0.13113794,0.12858438,0.05953934","6.51748,5.397021,5.28697,5.7111382,5.2033157,6.0771236,7.1692667,7.8285246,8.143273,9.039422,9.058471,15.594763,31.729279,23.004545,6.5519795,7.0973577,5.864297,5.0481524,5.7814646,7.5953465,14.12577","-17.096881866455078,-16.480385065078735,-17.084147930145264,-18.331692218780518,-16.600427627563477,-16.790138483047485,-17.483153343200684,-16.74055814743042,-16.916978359222412,-17.274504899978638,-17.6337468624115,-20.193605422973633,-21.594960689544678,-17.068345546722412,-16.31689429283142,-18.136541843414307,-18.418848514556885,-17.364521026611328,-15.586248636245728,-15.300544500350952,-21.675996780395508","0.08285714285714285,0.09605442176870749,0.09664399092970521,0.09786848072562358,0.10625850340136055,0.10575963718820862,0.10984126984126984,0.10122448979591837,0.08848072562358276,0.08199546485260771,0.07904761904761905,0.0817687074829932,0.10249433106575964,0.08897959183673469,0.0673015873015873,0.09587301587301587,0.11768707482993197,0.11292517006802721,0.09002267573696145,0.0779896013864818,0.1073326248671626","0.08281179138321995,0.0563265306122449,0.06068027210884354,0.062040816326530614,0.06843537414965986,0.06430839002267574,0.05247165532879819,0.04893424036281179,0.062040816326530614,0.07328798185941043,0.07786848072562358,0.31038548752834466,0.5645804988662132,0.3036281179138322,0.02802721088435374,0.04870748299319728,0.059727891156462584,0.05519274376417234,0.05006802721088435,0.07863951473136915,0.2079348211122919"
